X,Y,OBJECTID,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType,OwnerName,LocationX,LocationY
3668402.12674172,523972.368181556,18123,FRERET HARDWARE STORE,5109 FRERET ST,,NEW ORLEANS,LA,70115,504-899-0351,1125 - HARDWARE STORES,"TORRES, FRED F",3668402.12692,523972.368252
3696196.36544447,553129.753436223,18124,GS SUPPLY LLC,4401 DOWNMAN RD,,NEW ORLEANS,LA,70126,,"1140 - BUILDING MATERIAL DEALERS, OTHER",GS SUPPLY LLC,3696196.36515,553129.753367
3674206.99702172,519365.707775474,18125,HARRYS HARDWARE INC,3535 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1125 - HARDWARE STORES,"DEUTCH, SIDNEY          DEUTCH, SIDNEY",3674206.99681,519365.707767
3675695.80834855,528824.223635316,18126,HOME DEPOT  # 385(EARHART),1100 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,770-433-8211,"1140 - BUILDING MATERIAL DEALERS, OTHER","THE HOME DEPOT USA, INC",3675695.8084,528824.223488
3716665.08041246,565319.495788977,18127,"HOME DEPOT, USA INC #352(EAST)",12300 I 10 E SERVICE RD,,NEW ORLEANS,LA,70128,504-240-7071,"1140 - BUILDING MATERIAL DEALERS, OTHER","HOME DEPOT, USA",3716665.08037,565319.49565
3666638.35106981,517220.318037391,18128,LIBERTY LUMBER YARD INC,5383 TCHOUPITOULAS ST,,NEW ORLEANS,LA,70115,504-899-6341,"1140 - BUILDING MATERIAL DEALERS, OTHER",LIBERTY LUMBER YARD INC INC,3666638.35105,517220.318069
3684712.22896397,541736.654503316,18129,LOWE'S OF CENTRAL NO 1846 TAX DEPT,2501 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,704-693-2738,"1140 - BUILDING MATERIAL DEALERS, OTHER","LOWE S HOME CENTERS, INC.",3684712.22882,541736.654412
3681605.30505972,533553.837863728,18130,MARY'S FRENCH QUARTER HARDWARE,732 N RAMPART ST,,NEW ORLEANS,LA,70116,504-529-4465,1125 - HARDWARE STORES,MARY'S FRENCH QUARTER HARDWARE LLC.,3681605.30504,533553.837765
3671233.31563313,539881.152964979,18131,MATTIX CABINET WORKS,415 N SOLOMON ST,,NEW ORLEANS,LA,70119-4624,504-486-7218,"1140 - BUILDING MATERIAL DEALERS, OTHER",MATTIX CABINET WORKS INC,3671233.31547,539881.152906
3684153.54208922,548360.056610808,18132,MIKE'S HARDWARE & SUPPLY,4233 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,,1125 - HARDWARE STORES,"MIKE'S HARDWARE & SUPPLY,LLC",3684153.5421,548360.056658
3725139.70421122,557864.675068721,18133,NATIONAL POLYFAB CO,13120 CARRERE CT,,NEW ORLEANS,LA,70129,504-254-1025,"1140 - BUILDING MATERIAL DEALERS, OTHER",NATIONAL POYFAB CO INC,3725139.70412,557864.674971
3682053.6351998,523144.275349557,18134,PALATIAL STONE & TILE LLC,1526 RELIGIOUS ST,,NEW ORLEANS,LA,70130,504-340-2229,"1140 - BUILDING MATERIAL DEALERS, OTHER",PALATIAL STONE & TILE LLC,3682053.63503,523144.275259
3668229.32557814,534178.169948399,18135,PRE-CAST CONCRETE STEP COMPANY INC,7900 PALM ST,,NEW ORLEANS,LA,70125-1012,504-488-2639,"1140 - BUILDING MATERIAL DEALERS, OTHER","ALLEN JR, W P           ALLEN JR, W P",3668229.32545,534178.170117
3669365.73997197,554445.389584482,18136,ROCKERY ACE HARDWARE,7043 CANAL BLVD,,NEW ORLEANS,LA,70124,504-288-3522,1125 - HARDWARE STORES,LETELLIER JR DAVID L,3669365.73985,554445.38972
3678691.81679222,530187.70942539,18137,T.S.L. SHEETMETAL LLC,4437 SAINT LOUIS ST,B,NEW ORLEANS,LA,70119,504-234-8336,"1140 - BUILDING MATERIAL DEALERS, OTHER",T.S.L. SHEETMETAL LLC,3678691.8167,530187.70942
3687996.03834122,536720.956857562,18138,THE GREEN PROJECT,2831 MARAIS ST,,NEW ORLEANS,LA,70117,504-945-0240,"1140 - BUILDING MATERIAL DEALERS, OTHER",THE GREEN PROJECT,3687996.0383,536720.956615
3664561.23284872,519223.283847734,18139,"VISION WOOD, LLC",6010 MAGAZINE ST,,NEW ORLEANS,LA,70118,5044162031,"1140 - BUILDING MATERIAL DEALERS, OTHER","VISION WOOD, LLC",3664561.2329,519223.283639
