X,Y,OBJECTID,OwnerName,BusinessName,Address,Suite,City,State,Zip,PhoneNumber,BusinessType
3673749.67444555,522208.005896643,467221,BACK ON THE AVENUE LLC,BACK ON THE AVENUE,3401 BARONNE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
3674648.81766039,534310.569946066,467222,"JADE, INC",BANKS MEAT MARKET,325 S BROAD ST,,NEW ORLEANS,LA,70119,504-822-9004,1103 - MEAT MARKETS
3674150.4403763,518267.394355312,467223,"BARCIA'S GROCERY INC    ORGANO, ANN B",BARCIA'S GROCERY INC,3633 ANNUNCIATION ST,,NEW ORLEANS,LA,70115,504-899-9111,1101 - CONVENIENCE STORES
3680172.49263664,532376.166990727,467224,BASIN SUPERMARKET INC,BASIN SUPERMARKET,237 BASIN ST,,NEW ORLEANS,LA,70112,504-522-7947,1101 - CONVENIENCE STORES
3676387.47953738,527225.486019149,467225,"NGA, INC",BAYOU FOOD STORE OF N. O,2432 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-522-1004,1101 - CONVENIENCE STORES
3680211.0325858,531291.167848393,467226,"MAGNOLIA ENTERPRISES, INC.",BAYOU GIFTS,1000 CANAL ST,,NEW ORLEANS,LA,70130,,"1110 - BEER, WINE & LIQUOR STORES"
3696919.80067739,514982.231306225,467227,BEHRMAN CAJUN SEAFOOD   INC,BEHRMAN CAJUN SEAFOOD,4021 BEHRMAN HWY,C,NEW ORLEANS,LA,70114,504-813-3986,1104 - FISH & SEAFOOD MARKETS
3708245.34790814,520085.194853559,467228,"BENN, KERMIT",BENNS GROCERY,6445 ISADORE ST,,NEW ORLEANS,LA,70131,504-394-5800,1101 - CONVENIENCE STORES
3759988.7883843,574404.778143317,467229,BIG BOY DISTRIBUTORS LLC,BIG BOY DISTRIBUTORS,4441 SAN GIORGIO ST,,NEW ORLEANS,LA,70129,504-628-5689,"0138 - GROCERY & RELATED PRDCTS WHLSRS, OTH"
3683031.20870396,531719.273619473,467230,BIG EASY MARDI GRAS CO LLC,BIG EASY MARDI GRAS CO,600 DECATUR ST,,NEW ORLEANS,LA,70130,504-524-4729,1101 - CONVENIENCE STORES
3686020.73881413,546574.132361144,467231,"BIG EASY POBOY & SEAFOOD, LLC",BIG EASY POBOY & SEAFOOD,3700 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
3688287.39865088,548655.776163727,467232,"BOILING POT AT GENTILLY,LLC",BOILING POT AT GENTILLY,3868 GENTILLY BLVD,,NEW ORLEANS,LA,70122,,1101 - CONVENIENCE STORES
3675393.64097388,519997.604805648,467233,BREAUX MART SUPERMARKETS INC,BREAUX MART SUPERMARKETS,3233 MAGAZINE ST,,NEW ORLEANS,LA,70115,,1106 - GROCERY (EXC CONVENIENCE) STORES
3674725.72859581,534147.813381806,467234,HOANG AN INC,BROAD & BANKS SEAFOOD,342 S BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
3678652.34639873,539446.048192143,467235,"DON DO, INC",BROADVIEW SEAFOOD,1468 N BROAD ST,,NEW ORLEANS,LA,70119,504-945-2118,1104 - FISH & SEAFOOD MARKETS
3666277.7159643,529550.944622815,467236,BWC INC,BROADWAY FOOD STORE,2223 BROADWAY ST,,NEW ORLEANS,LA,70118-5409,504-861-0505,1101 - CONVENIENCE STORES
3682335.81114464,541247.649247721,467237,COUSIN'S FOODMART INC.,BROOKS GROCERY,2434 ALLEN ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
3674317.21104014,522823.930845901,467238,"PARKS, EDWARD",BROTHER CORNER GROCERY,3201 DRYADES ST,,NEW ORLEANS,LA,70115,504-891-0275,1101 - CONVENIENCE STORES
3697320.45145088,520253.143008471,467239,"EXXON GENERAL DEGAULLE, LLC",BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
3696434.01424739,534084.16521515,467240,ST. CLAUDE DISCOUNT LLC,BROTHER'S ST CLAUDE,5104 ST CLAUDE AVE,A,NEW ORLEANS,LA,70117,504-220-3777,1101 - CONVENIENCE STORES
3675899.01529121,527701.752126977,467241,AZZAM INC,BROTHERS DISCOUNT,2701 MARTIN LUTHER KING JR BLVD,,NEW ORLEANS,LA,70113,504-525-5300,1101 - CONVENIENCE STORES
3705377.63021839,558023.320420727,467242,CROWDER BROTHERS LLC,BROTHERS FOOD MART  NO 132,5701 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-366-2413,1101 - CONVENIENCE STORES
3680660.56055814,530506.470598891,467243,"148 CARONDELET STREET,LLC",BROTHERS FOOD MART 109,148 CARONDELET ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
3691331.98803413,527855.937186062,467244,NEWTON BROTHERS INC,BROTHERS FOOD MART NO 122,1926 NEWTON ST,,NEW ORLEANS,LA,70114,504-366-2413,1101 - CONVENIENCE STORES
3714772.26923747,565501.190963641,467245,BULLARD BROTHERS NO 127 LLC,BROTHERS FOOD MART NO 127,7001 BULLARD AVE,,NEW ORLEANS,LA,70128,,1101 - CONVENIENCE STORES
3687222.37978356,537639.051149979,467246,BROTHERS FRANKLIN INC,BROTHERS FRANKLIN,2509 N VILLERE ST,,NEW ORLEANS,LA,70117,504-495-3342,1101 - CONVENIENCE STORES
3672034.31567155,534820.524634808,467247,NEW CITY MART LLC,BROWN DERBY #3,3326 TULANE AVE,,NEW ORLEANS,LA,70119,504-827-7899,1101 - CONVENIENCE STORES
3685999.82054889,546811.502621308,467248,SANAD LLC,BROWN DERBY #4,3737 CLEMATIS ST,,NEW ORLEANS,LA,70122,,1105 - FULL SVC RESTAURANTS (TABLE SERVICE)
3665535.74271072,526090.779955223,467249,SODEXO MANAGEMENT INC,BRUFF STUFF,31 MCALISTER DR,,NEW ORLEANS,LA,70118,504-865-5293,1101 - CONVENIENCE STORES
3678691.81679222,530187.70942539,467250,KEITH BUNN,BUNN'S GROCERY,2438 BIENVILLE ST,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
3677875.4329263,536272.20611465,467251,ABUALI FADI A,BUSY BEE FOOD STORE,2401 ORLEANS AVE,A,NEW ORLEANS,LA,70119-5027,504-821-5586,1101 - CONVENIENCE STORES
3682054.79530247,529897.078444973,467252,DEEP SOUTH GROCERY CO IN,CAJUN COUNTRY STORE,400 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
3671325.76393905,529719.776306137,467253,"TIEN & TUYET, INC",CAJUN SEAFOOD,2730 S BROAD ST,,NEW ORLEANS,LA,70125,504-822-6185,1104 - FISH & SEAFOOD MARKETS
3709784.83957981,562032.053873062,467254,"CAJUN SEAFOOD #4,LLC",CAJUN SEAFOOD #4,7020 READ BLVD,,NEW ORLEANS,LA,70127,504-241-1396,1106 - GROCERY (EXC CONVENIENCE) STORES
3687931.21104306,539491.922444224,467255,RACHEL SEAFOOD INC,CAJUN SEAFOOD 2,1901 ALMONASTER AVE,,NEW ORLEANS,LA,70117,504-945-5447,1101 - CONVENIENCE STORES
3678554.5142453,535762.628065556,467256,CAJUN ORLEANS LLC,CAJUN WILLS,2127 ORLEANS AVE,,NEW ORLEANS,LA,70116,504-821-6386,1106 - GROCERY (EXC CONVENIENCE) STORES
3678691.81679222,530187.70942539,467257,CANAL FUEL MART INC,CANAL FUEL MART,4701 CANAL STREET,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
3675230.76728389,535093.289181143,467258,VIENNE ENTERPRISE LLC,CANAL MART & EATERY,2700 CANAL ST,A,NEW ORLEANS,LA,70119,504-821-7730,1101 - CONVENIENCE STORES
3678691.81679222,530187.70942539,467259,CANSECO'S CARROLLTON MARKET LLC,CANSECO'S CARROLLTON MARKET,1133 S CARROLLTON AVE AVE,,NEW ORLEANS,LA,70118,,1106 - GROCERY (EXC CONVENIENCE) STORES
3683864.05251072,552205.810402229,467260,"CANSECO'S ELYSIAN FIELDS, LLC",CANSECO'S ELYSIAN FIELDS,5217 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-304-9805,1106 - GROCERY (EXC CONVENIENCE) STORES
3676200.56882197,540575.331694722,467261,CANSECO'S ESPLANADE LLC,CANSECO'S ESPLANADE MARKET,3135 ESPLANADE AVE,,NEW ORLEANS,LA,70119,504-322-2594,1106 - GROCERY (EXC CONVENIENCE) STORES
3689504.71741048,535828.199456722,467262,"VU & SONS, LLC",CAPTAIN SAL'S SEAFOOD & CHICKEN,3168 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1104 - FISH & SEAFOOD MARKETS
3709284.21722147,566825.118433893,467263,CASTNET SEAFOOD INC,CASTNET,10826 HAYNE BLVD,,NEW ORLEANS,LA,70127,,1104 - FISH & SEAFOOD MARKETS
3673899.24009131,525665.282774732,467264,"CENTRAL CITY GROCERY #3, INC.",CENTRAL CITY GROCERY #3,2611 WASHINGTON AVE,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
3683710.8720428,532757.097987399,467265,CENTRAL GROCERY CO. LLC,CENTRAL GROCERY CO.,923 DECATUR ST,,NEW ORLEANS,LA,70116,504-523-1620,1101 - CONVENIENCE STORES
3725700.88550355,559802.700064063,467266,"TRAN FAMILY VENTURES, LLC",CHEF CHEVRON,13301 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-254-8984,1101 - CONVENIENCE STORES
3715583.61079064,555746.69603698,467267,"AMA DISCOUNT, INC",CHEF DISCOUNT MARKET,10833 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70127,504-329-8179,1106 - GROCERY (EXC CONVENIENCE) STORES
3699508.90376689,552044.074177146,467268,CHEF FUEL LLC,CHEF FUEL LLC,6711 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
3765454.31879181,574701.903205231,467269,"LOUIS VIAVANT BOAT HARBOVIAVANT, GEORGE L",CHEF HARBOR,21135 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,504-662-5511,"1111 - SPECIALTY FOOD STORES, ALL OTHER"
3730758.65425938,561362.342942148,467270,"CHEF MARKET,LLC",CHEF MARKET,14400 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
3676179.96814139,525367.876545399,467271,"CHICKEN MART, INC",CHICKEN MART,2200 SIMON BOLIVAR AVE,,NEW ORLEANS,LA,70113,504-522-8893,1103 - MEAT MARKETS
3698138.42159972,533844.977373317,467272,CHICKEN MART II LLC,CHICKEN MART II,5601 ST CLAUDE AVE,,NEW ORLEANS,LA,70117,,1103 - MEAT MARKETS
3680972.23644397,522155.822930142,467273,KAWTHAR ESMAIL,CHIPPEWA FOOD STORE,1684 CHIPPEWA ST,,NEW ORLEANS,LA,70130,,1101 - CONVENIENCE STORES
3666616.0046578,549355.14845264,467274,CHRIS SPECIALTY FOODS LLC,CHRIS SPECIALTY FOODS,6251 WEST END BLVD,,NEW ORLEANS,LA,70124,,1103 - MEAT MARKETS
3676983.25524873,520833.333777234,467275,THUMBS UP RACE TWELVE LLC,CIEL MARKET,2801 MAGAZINE ST,STE. 4,NEW ORLEANS,LA,70115,,1101 - CONVENIENCE STORES
3663093.39982639,524744.202923983,467276,"THUMBS UP RACE 8, LLC.",CIEL MARKET,7133 ST CHARLES AVE,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
3681968.86338772,538024.026429892,467277,LAYLA LLC,CIRCLE H MEAT MARKET,1600 ST BERNARD AVE,,NEW ORLEANS,LA,70116,,1103 - MEAT MARKETS
3679930.89699122,527142.464531645,467278,"CIRCLE K STORES, INC.",CIRCLE K #2707672,704 HOWARD AVE,,NEW ORLEANS,LA,70130,504-586-3042,1101 - CONVENIENCE STORES
3668191.04350246,534912.625172392,467279,"CIRCLE K STORES, INC.",CIRCLE K #2707673,3725 S CARROLLTON AVE,,NEW ORLEANS,LA,70118,504-486-8377,1101 - CONVENIENCE STORES
3667177.73056847,527984.920523897,467280,CIRCLE K STORES INC,CIRCLE K #4906,6229 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-861-9107,1101 - CONVENIENCE STORES
3678416.64280188,526077.053276643,467281,"CK'S HOT SHOPPE, LLC",CK'S  HOT SHOPPE,1433 BARONNE ST,,NEW ORLEANS,LA,70113,504-309-5150,1106 - GROCERY (EXC CONVENIENCE) STORES
3671379.57715164,526074.821325734,467282,SOUTH CLAIBORNE OPERATIONS,CLAIBORNE #165,4101 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
3687457.25300147,538410.165421396,467283,"AWNI, INC",CLAIBORNE SUPERMARKET,2541 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,504-948-2327,1106 - GROCERY (EXC CONVENIENCE) STORES
3678691.81679222,530187.70942539,467284,"DURGA ENTERPRISES, INC",COMPAK FOOD & DELI,501 DAUPHINE ST,,NEW ORLEANS,LA,70112,504-525-2311,1101 - CONVENIENCE STORES
3667971.22274789,535895.69833748,467285,COSTCO WHOLESALE CORPORATION,COSTCO WHOLESALE 1147,3900 DUBLIN ST,,NEW ORLEANS,LA,70118,425-313-8100,1106 - GROCERY (EXC CONVENIENCE) STORES
3678691.81679222,530187.70942539,467286,"JOS FEIN CATERERS, INC",COURT LIQUORS,618-620 BOURBON ST,,NEW ORLEANS,LA,70130,504-581-5804,1101 - CONVENIENCE STORES
3671940.61868046,539743.450812563,467287,CREOLE COUNTRY INC,CREOLE COUNTRY INC,512 DAVID ST,,NEW ORLEANS,LA,70119,,1103 - MEAT MARKETS
3681345.36922789,530672.831158563,467288,MAGNOLIA ENTERPRISES INC,CREOLE SUPERSTORE,623 CANAL ST,,NEW ORLEANS,LA,70130,504-586-0703,1101 - CONVENIENCE STORES
3683045.5721923,528712.814409316,467289,HILTON MANAGEMENT LLC,CRESCENT CITY MARKETPLACE,2 POYDRAS ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
3705179.47903989,558329.005176812,467290,DALYA LLC,CROWDER CENTER,5769 CROWDER BLVD,,NEW ORLEANS,LA,70127,504-241-6555,1101 - CONVENIENCE STORES
3667671.04257397,531754.864755645,467291,HENRIETTE KAMBI,CTN GROCERY,2931 BROADWAY ST,,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
3670179.75179538,525957.600431561,467292,"LOUISIANA CVS PHARMACY, L.L.C.",CVS/ PHARMACY # 167,4401 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,401-765-1500,1101 - CONVENIENCE STORES
3680559.60669181,542211.325141892,467293,K & O BROTHERS LLC,D & M DISCOUNT STORE,2037 N BROAD ST,,NEW ORLEANS,LA,70119,504-235-3478,1106 - GROCERY (EXC CONVENIENCE) STORES
3684845.6886708,540035.689729393,467294,"DANG ENTERPRISE , INC.",DANNY FOOD STORE,2101 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70117,,1106 - GROCERY (EXC CONVENIENCE) STORES
3681747.74079847,538518.486727059,467295,P & N ENTERPRISES INC,DANNY'S PACKAGE LIQUOR & SEAFOOD MKT,1812 ONZAGA ST,,NEW ORLEANS,LA,70116,504-949-8666,1101 - CONVENIENCE STORES
3678691.81679222,530187.70942539,467296,"WILLIAMS, WILLIE JR",DAP MINISTRIES OUTLET,1234 PRESS DR,,NEW ORLEANS,LA,70117,,"1501 - DURABLE GOODS WHLSRS, OTHER MISC"
3695117.25769456,521420.949399889,467297,"DAT'S CAJUN SEAFOOD, LLC",DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,NEW ORLEANS,LA,70114,504-362-8252,1104 - FISH & SEAFOOD MARKETS
3680943.98157921,531594.168226644,467298,"DAUPHINE FOOD MART,LLC",DAUPHINE FOOD MART,215 DAUPHINE ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
3691808.69311747,548487.655436978,467299,BINH VAN CORPORATION,DAY & NIGHT DISCOUNT,4039 LOUISA ST,B,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
3681390.76415022,530409.599729642,467300,DEEP SOUTH GROCERY CO   INC,DEEP SOUTH TRADING CO,600 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
3730302.39073622,561524.569651812,467301,KING SUPERMARKET,DEXEMCA INC,14321 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70116,,1106 - GROCERY (EXC CONVENIENCE) STORES
3674831.07713838,528137.760113224,467302,T & HO LLC,DISCOUNT CITY,2013 S CLAIBORNE AVE,D,NEW ORLEANS,LA,70125,,1101 - CONVENIENCE STORES
3663122.06020214,533247.222335234,467303,ARIYAN INC,DISCOUNT CORNER,8733 S CLAIBORNE AVE,,NEW ORLEANS,LA,70118,504-864-0057,1101 - CONVENIENCE STORES
3680072.09716813,537419.178886309,467304,2 NY FASHIONS INC,DISCOUNT EXPRESS,2000 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-433-8600,1101 - CONVENIENCE STORES
3681818.7557483,530307.396193892,467305,DEEP SOUTH GROCERY CO   INC,DIXIE MARKET,501 CANAL ST,,NEW ORLEANS,LA,70130,504-586-8753,1101 - CONVENIENCE STORES
3661481.63598955,531601.211847723,467306,"DON'S FOOD MART, LLC",DON'S FOOD  MART,1730 EAGLE ST,,NEW ORLEANS,LA,70118,,1101 - CONVENIENCE STORES
3696063.0874958,554497.269401982,467307,FADI INC,DOWNMAN SUPERMARKET,4827 DOWNMAN RD,,NEW ORLEANS,LA,70126,504-242-2882,1101 - CONVENIENCE STORES
3678374.94078556,539075.838958815,467308,E&L MART,E&L MART,1410 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
3678032.89783446,527548.163851485,467309,"2000 EARHART BOULEVARD,LLC",EARHART 169,2000 EARHART BLVD,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
3704946.93258896,552956.207195401,467310,"EAST SIDE CASH & CARRY,",EAST SIDE CASH & CARRY INC,7943 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,504-243-9797,1101 - CONVENIENCE STORES
3714258.49303405,565634.730394721,467311,SARA GROCERY INC,EASTOVER MARKET,7050 BULLARD AVE,,NEW ORLEANS,LA,70128,504-244-0741,1106 - GROCERY (EXC CONVENIENCE) STORES
3683202.15390013,556241.644194067,467312,"M & S  OIL SERVICES, L.L.C.",ELYSIAN FIELDS SHELL,6300 ELYSIAN FIELDS AVE,,NEW ORLEANS,LA,70122,504-884-8766,1101 - CONVENIENCE STORES
3683542.99311347,534884.473325804,467313,ALLAN'S GROCERY LLC,ESPLANADE MINI MART,839 ESPLANADE AVE,,NEW ORLEANS,LA,70116,504-329-8179,1101 - CONVENIENCE STORES
3695299.44236955,521715.040675223,467314,MALAK 2000 INC,EVERGREEN SUPERMARKET,3011 SANDRA DR,,NEW ORLEANS,LA,70114,504-368-1581,1101 - CONVENIENCE STORES
3671760.94515531,526165.345094815,467315,"SHENGLIN,LLC",EZGO,3701 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,504-473-6940,1106 - GROCERY (EXC CONVENIENCE) STORES
3678685.69147639,542481.200586393,467316,FAIR ZONE FOOD STORE 2 LLC,FAIR ZONE FOOD STORE 2,1825 GENTILLY BLVD,,NEW ORLEANS,LA,70119,504-461-6175,1101 - CONVENIENCE STORES
3673702.74999872,522857.385175318,467317,FAMILY DISCOUNT STORE INC,FAMILY DISCOUNT STORE,1935 LOUISIANA AVE,,NEW ORLEANS,LA,70115,504-895-4272,1101 - CONVENIENCE STORES
3712252.71456531,568801.848076224,467318,"RANCH, INC",FAMILY RANCH MARKET,11950 HAYNE BLVD,,NEW ORLEANS,LA,70128,504-243-1944,1106 - GROCERY (EXC CONVENIENCE) STORES
3671229.40520789,529823.298408806,467319,MONA REALTY LLC,FAST STOP,2745 S BROAD ST,,NEW ORLEANS,LA,70125,,1106 - GROCERY (EXC CONVENIENCE) STORES
3694978.47221097,557048.165874973,467320,"FAST STOP OF DOWNMAN,LLC",FAST STOP,7200 DOWNMAN RD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
3745932.93034121,601309.69218114,467321,"FAST STOP OF IRISH,LLC",FAST STOP OF IRISH,3684 RIDGEWAY BLVD,STE #A,NEW ORLEANS,LA,70129,,1101 - CONVENIENCE STORES
3680569.55581889,525172.835596889,467322,"FAT BOY PANTRY LOUISIANA,LLC",FAT BOY PANTRY,1302 MAGAZINE ST,,NEW ORLEANS,LA,70130,,1106 - GROCERY (EXC CONVENIENCE) STORES
3686843.89858514,529865.85475415,467323,"FAUBOURG FRESH MARKET, LLC",FAUBOURG FRESH MARKET,541 BERMUDA ST,,NEW ORLEANS,LA,70114,,1106 - GROCERY (EXC CONVENIENCE) STORES
3698117.52498797,551575.097424805,467324,SHIVAS LLC,FOOD PLUS,6232 CHEF MENTEUR HWY,UNIT A,NEW ORLEANS,LA,70126,504-246-2628,1106 - GROCERY (EXC CONVENIENCE) STORES
3689531.24786922,534680.994073972,467325,"FRADY, JOSEPH M",FRADY'S ONE STOP FOOD STORE,3231 DAUPHINE ST,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
3678691.81679222,530187.70942539,467326,SIX BROTHERS LLC,FRANCE MEAT MARKET,1339 FRANCE ST,,NEW ORLEANS,LA,70117,504-949-2407,1103 - MEAT MARKETS
3686296.26713447,555628.186759561,467327,MALAK INC,FRANKLIN DISCOUNT,6100 FRANKLIN AVE,,NEW ORLEANS,LA,70122,,1106 - GROCERY (EXC CONVENIENCE) STORES
3687766.3186563,539454.269304305,467328,FRANKLIN AVENUE MARKET LLC,FRANKLIN FOOD MART,1843 FRANKLIN AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
3679791.71780764,533553.669556975,467329,FRENCH QUATER FOOD MART,FRENCH QUATER FOOD MART,1534 SAINT LOUIS ST,A,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
3674576.21577147,525007.361190304,467330,JENNEFER TRAN INC,FRIENDLY SUPERMARKET,2704 LA SALLE ST,,NEW ORLEANS,LA,70113,,1101 - CONVENIENCE STORES
3697188.08852664,536044.001846641,467331,FUEL N MART,FUEL N MART,5201 N CLAIBORNE AVE,,NEW ORLEANS,LA,70117,,1101 - CONVENIENCE STORES
3699081.53421481,561544.937065139,467332,ANZ LLC,FUEL N MART,7220 HAYNE BLVD,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
3691466.22956355,549683.87679781,467333,FUEL ZONE LLC,FUEL ZONE,4500 CHEF MENTEUR HWY,,NEW ORLEANS,LA,70126,,1101 - CONVENIENCE STORES
3698919.12509081,537488.216477901,467334,BURNELL COTLON,GALVEZ GOODIES,2036 CAFFIN AVE,,NEW ORLEANS,LA,70117,504-319-5886,1106 - GROCERY (EXC CONVENIENCE) STORES
3730112.99938272,563405.123305395,467335,GARIFUNA MARKET,GARIFUNA MARKET,14402 DWYER BLVD,,NEW ORLEANS,LA,70129,,1106 - GROCERY (EXC CONVENIENCE) STORES
3678374.06283455,540749.197160646,467336,GENTILLY FOOD MART INC,GENTILLY FOOD MART INC,1629 GENTILLY BLVD,,NEW ORLEANS,LA,70119,,1101 - CONVENIENCE STORES
3678745.80421706,533941.177312151,467337,"HILLIARD, GLORIA",GLORIA'S GROCERY,1800 CONTI ST,,NEW ORLEANS,LA,70112,,1101 - CONVENIENCE STORES
3676173.60430896,536041.324030474,467338,"TCL FAMILY,LLC",GOLDEN EXPRESS,400 N BROAD ST,,NEW ORLEANS,LA,70119,,1106 - GROCERY (EXC CONVENIENCE) STORES
3671760.94515531,526165.345094815,467339,"GB LICENSE, LLC",GOPUFF,3701 S CLAIBORNE AVE,,NEW ORLEANS,LA,70125,401-327-1254,1106 - GROCERY (EXC CONVENIENCE) STORES
